ID,Aspect,Category,Opinion,Gold_VA,Pred_VA,cTP_semantic,VA_distance,combined_score
rest16_quad_train_910,sassy lassi,drinks#quality,fav,8.38#8.50,7.60#7.67,0.9468970696131388,0.10067351315018272,0.8462235564629561
rest16_quad_train_319,place,restaurant#general,null,5.33#5.33,5.05#5.41,1.0,0.025739075352467524,0.9742609246475324
rest16_quad_train_1434,palce,restaurant#general,null,3.50#5.80,5.02#5.41,1.0,0.13870213138232587,0.8612978686176741
rest16_quad_train_844,porcini mushroom pasta special,food#quality,tasteless,2.50#7.33,3.60#6.34,1.0,0.1308057959342781,0.8691942040657219
rest16_quad_train_844,seafood tagliatelle,food#quality,tasteless,2.33#7.17,3.28#6.47,1.0,0.10430199542674147,0.8956980045732585
rest16_quad_train_1170,waitress,service#general,null,5.00#5.00,4.90#5.41,1.0,0.037301558278441935,0.962698441721558
rest16_quad_train_442,wine choices,drinks#style_options,very good,6.88#7.12,6.86#6.88,1.0,0.021286732957408017,0.978713267042592
rest16_quad_test_489,owner,service#general,very dismissive,2.00#8.00,2.57#6.92,0.927930990854899,0.1079387847346819,0.8199922061202172
rest16_quad_train_685,null,location#general,null,4.67#5.33,4.91#5.39,0.999999980131785,0.021866069605669884,0.9781339105261152
rest16_quad_train_1444,null,food#quality,completely inedible,3.00#5.00,2.58#6.94,1.0,0.17544586059522752,0.8245541394047725
rest16_quad_dev_36,outdoor restaurants,ambience#general,nicest,8.00#8.12,7.71#7.69,0.9714983900388082,0.045842802052230534,0.9256555879865777
rest16_quad_test_92,food,food#quality,nice,6.83#7.00,6.71#6.94,1.0,0.011858541225631415,0.9881414587743685
rest16_quad_test_92,food,food#quality,null,4.33#5.67,5.01#5.39,0.9011562069257101,0.06499999999999997,0.8361562069257101
rest16_quad_train_124,atmosphere,ambience#general,is n ' t the greatest,3.50#6.33,4.04#5.83,0.9011329412460327,0.06504805915628845,0.8360848820897443
rest16_quad_train_1318,null,restaurant#miscellaneous,null,5.00#5.00,4.96#5.41,1.0,0.03641127915907378,0.9635887208409262
rest16_quad_train_266,big wong,restaurant#general,fine,7.00#6.88,7.13#7.11,1.0,0.023351927115336783,0.9766480728846633
rest16_quad_train_1177,null,restaurant#general,null,5.00#5.00,4.98#5.38,0.9587862094243368,0.03363406011768426,0.9251521493066526
rest16_quad_train_316,place,ambience#general,good,6.50#6.75,6.52#6.62,0.9122267564137777,0.011625672023586404,0.9006010843901913
rest16_quad_train_427,service,service#general,very good,7.38#7.38,6.72#6.76,1.0,0.08003905296791061,0.9199609470320894
rest16_quad_train_747,suan,restaurant#general,great,7.33#7.50,7.64#7.64,1.0,0.03006503367701419,0.9699349663229858
rest16_quad_dev_161,bark,restaurant#miscellaneous,null,5.00#5.00,5.00#5.40,0.9587862094243368,0.035355339059327404,0.9234308703650094
rest16_quad_dev_161,food,food#quality,null,5.00#5.00,5.03#5.40,1.0,0.03545463650920711,0.9645453634907929
rest16_quad_train_42,food,food#quality,great,7.88#7.75,7.65#7.62,1.0,0.023351927115336714,0.9766480728846633
rest16_quad_train_309,ambience,ambience#general,very dark,7.50#7.25,7.59#7.64,0.9546076854070028,0.035377429245212234,0.9192302561617905
rest16_quad_train_1274,null,food#prices,over priced,3.38#5.25,3.69#5.86,0.9466850360234579,0.060479852017014744,0.8862051840064431
rest16_quad_train_1006,service,service#general,good,7.17#7.00,6.65#6.72,1.0,0.05220153254455272,0.9477984674554473
rest16_quad_train_1006,staff,service#general,great,7.67#7.50,6.66#6.73,0.9545150597890218,0.1122566813156348,0.842258378473387
rest16_quad_train_943,null,service#general,null,5.00#5.00,4.97#5.40,1.0,0.03545463650920711,0.9645453634907929
rest16_quad_train_26,grilled chicken special with edamame puree,food#quality,moderately enjoyed,7.25#7.00,7.66#7.70,0.9500484665234884,0.07170359997935949,0.8783448665441289
rest16_quad_train_1034,sushi,food#quality,reliable,7.00#6.88,7.86#7.81,1.0,0.11196051201204824,0.8880394879879517
rest16_quad_train_558,staff,service#general,really stressed,3.83#5.33,5.37#6.64,1.0,0.17870410249907523,0.8212958975009248
rest16_quad_train_558,staff,service#general,nice,6.83#7.00,7.34#7.28,1.0,0.05142500607681052,0.9485749939231894
rest16_quad_train_558,unisex bathroom,ambience#general,null,4.67#4.67,4.91#5.40,0.9824386835098267,0.06792113993448583,0.9145175435753409
rest16_quad_train_1004,atmosphere,ambience#general,love,7.62#7.62,7.66#7.65,1.0,0.004419417382415938,0.9955805826175841
rest16_quad_train_1199,null,service#general,null,5.00#5.00,4.91#5.41,0.9047762552897135,0.03710205519913958,0.8676742000905739
rest16_quad_train_614,place,restaurant#general,wonderful,7.88#7.88,7.92#7.93,0.9064367810885111,0.005659615711335875,0.9007771653771752
rest16_quad_test_233,breakfast,food#quality,great,7.62#7.38,7.69#7.67,0.9488082130750021,0.026368778887161243,0.9224394341878408
rest16_quad_test_430,lebanese food,food#quality,yum,7.25#7.00,7.37#7.42,0.9488082130750021,0.03860861302870125,0.9101996000463008
rest16_quad_train_16,chow fun,food#quality,dry,3.25#6.50,2.55#6.82,1.0,0.06803032412093891,0.9319696758790611
rest16_quad_train_16,pork shu mai,food#quality,greasy,3.25#6.75,2.54#6.96,1.0,0.06544320056354212,0.9345567994364579
rest16_quad_train_1407,food,food#quality,good,7.38#7.50,6.36#6.44,1.0,0.13002403623945838,0.8699759637605416
rest16_quad_train_1408,place,restaurant#general,null,4.17#4.83,4.99#5.42,1.0,0.08928973205245944,0.9107102679475405
rest16_quad_test_347,portions,food#style_options,big,7.50#7.38,5.09#6.00,0.9321425755818685,0.2454667110831935,0.686675864498675
rest16_quad_train_101,glass of wine,drinks#quality,great,7.67#7.50,7.52#7.50,0.918898344039917,0.013258252147247797,0.9056400918926691
